PRODUCTO;Modelo ;Descripcion ;Proveedor ;;Quantity;Price USD
ID-00005192;E00553;PORTATIL DE CHAPA C/PORT FCO CERAICO 12V;ANGAR DISTRIBUCIONES;SIN RAMO;1;3199,12
ID-00005193;230.243.200;CONVERTIDOR DE 24V / 220V 2000W;FIASA S.A.I.C Y F.;FIASA;1;531,80
ID-00005194;03225.120;SOLDADORA ESAB HANDY ARC 142I;BERMON DISTRIBUIDORA S.R.L;ESAB;1;361,16
ID-00005195;64345;HOJA DE LIJA P/METAL G80;ITURRIA S.A;3M;5;5,33
ID-00005196;64345;HOJA DE LIJA P/METAL G100 3M;ITURRIA S.A;3M;46;58,23
ID-00005197;61156;HOJA DE LIJA ANTIEMPASTE180 3M;ITURRIA S.A;3M;5;0,61
ID-00005198;61166;HOJA DE LIJAA ANTIEMPASTE G80 3M;ITURRIA S.A;3M;43;57,61
ID-00005199;PWZ1;LLAVE PARA CAÑO VERDE 320MM BAHCO;ITURRIA S.A;BAHCO;0;0,00
ID-00005200;PWZ3G;LLAVE PARA CAÑO (ROJA) 560MM BAHCO;ITURRIA S.A;BAHCO;0;0,00
ID-00005201;ULT125;ATORNILLADOR 12V HAMILTON S/PERCUTOR;GACINOL S.R.L;HAMILTON;8;876219,05
ID-00005202;0;MOTOGUADAÑA KUSHIRO 2T DE 55 CC PRO;ALEJANDRO BERMON;KUSHIRO;0;0,00
ID-00005203;;"MANGUERA DE RIEGO AZUL 1""";ALEJANDRO BERMON;SIN RAMO;188;60505,42
ID-00005204;164038;LLAVE CALIFORNIA CHICA;PROCOM;BYB;5;22,15
ID-00005205;;LLAVE CALIFONIA GRANDE;ALEJANDRO BERMON;SIN RAMO;5;3811,28
ID-00005206;;REFLECTOR GRANDE RECARGABLE;ALEJANDRO BERMON;SIN RAMO;1;8977,68
ID-00005207;7490;DISCO P/MADERA TUGTENO 4 1/2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;0;0,00
ID-00005208;;ESLINGA C/ CRIQUE AMARILLA 5TON;ALEJANDRO BERMON;UCU;1;21174,02
ID-00005209;TKTIBE1100;TANQUE MONOCAPA LINEA GRIS 1100 LTS;ROTOCOM SRL;ROTOCOM;2;361,47
ID-00005210;109354;JUEGO DE TUBOS 1/4 IRIMO X 35PZS;ITURRIA S.A;IRIMO;0;0,00
ID-00005211;7086 -87-88-89;REPUETO PARA REMACHADORA DUAL;BREMEN TOOLS ARGENTINA S.A.;BREMEN;5;3,87
ID-00005212;7236;PUNTAS PHILIPS PH2;BREMEN TOOLS ARGENTINA S.A.;BREMEN;83;60,13
ID-00005213;DILU-000007;ALCOHOL DE QUEMAR X 900CC;PROQUIN BAHIA S.R.L.;SIN RAMO;6;2,10
ID-00005214;QUIM-000042;PASTILLAS DE CLORO 50GRS X 1KG;PROQUIN BAHIA S.R.L.;SIN RAMO;1;6,39
ID-00005215;;;;;0;0,00
ID-00005216;;;;;0;0,00
ID-00005217;PILE-000163;LIMPIA FONDO VENTURI PARA PELOPINCHO;PROQUIN BAHIA S.R.L.;VULCANO;1;28,35
ID-00005218;;CARBONES P/AMOL.BLACK & DECKER G-720;PROCOM;RESORTECNICA;19;11,61
ID-00005219;4202292;HOJA DE LIJA CON VELCRO G80;DELLA VALLE Y CIA SRL;SIN RAMO;10;0,42
ID-00005220;4202294;HOJA DE LIJA CON VELCRO G40;DELLA VALLE Y CIA SRL;SIN RAMO;5;0,21
ID-00005221;4202293;HOJA DE LIJA CON VELCRO G60;DELLA VALLE Y CIA SRL;SIN RAMO;7;0,30
ID-00005222;HAI001;ASPIRADORA HAMILTON 1300W 20LTS;GACINOL S.R.L;HAMILTON;0;0,00
ID-00005223;07654.08;LLAVE DE PASO PLASTICO DE 1 1/2 DUKE;BERMON DISTRIBUIDORA S.R.L;DUKE;2;3,59
